date,Q1,Q2,Q3,Q4,Q5
196302,0.05,-1.9,-1.34,-1.63,-2.34
196303,1.57,1.94,1.62,2.43,3.73
196304,2.9,3.98,3.8,4.58,4.9
196305,5.05,3.59,3.65,2.13,1.86
196306,-1.33,-1.72,-1.63,-1.72,-1.84
196307,-0.33,-1.26,-1.7,-1.42,0.22
196308,2.96,5,5.28,5.74,5.35
196309,-1,-1.83,-1.67,-2.17,-1.11
196310,0.5,2.78,1.3,1.27,3.24
196311,-2.03,-1.26,-1.48,-0.28,-0.5
196312,-1.62,0.22,1.2,1.46,2.44
196401,4.1,1.58,1.8,1.22,2.85
196402,2.51,3.05,2.25,3.05,1.57
196403,2.38,3.68,3.64,2.99,1.36
196404,-0.36,-0.54,-0.72,-0.5,0.67
196405,0.49,2.35,1.14,2.12,1.64
196406,1.16,1.21,1.47,1.41,1.59
196407,3.13,2.61,2.5,2.01,1.98
196408,-0.64,-1.24,-0.85,-0.09,-1.31
196409,4.51,2.99,2.94,3.77,2.83
196410,2.29,1.2,2.17,1.58,0.63
196411,0.17,-0.61,0.54,0.14,0.32
196412,-1.94,-0.35,-0.47,-0.36,0.56
196501,7.55,6.35,5.67,5.5,3.37
196502,2.95,3.95,3.73,2.79,0.08
196503,2.33,0.29,0.51,-0.07,-1.38
196504,4.73,4.25,4.02,3.51,3.26
196505,-0.77,-0.78,-0.4,-0.83,-0.3
196506,-9.81,-8.84,-8.08,-7.51,-4.29
196507,2.96,3.5,3.39,3.25,1.32
196508,4.22,4.75,6.08,4.21,2.65
196509,2.64,3.95,3.42,3.05,3.19
196510,7.44,5.82,5.24,3.9,2.42
196511,5.92,4.87,4.47,3.34,-0.72
196512,4.58,5.08,2.75,2.09,0.88
196601,7.79,5.66,4.29,3.05,0.13
196602,4.84,2.86,2.34,0.66,-1.72
196603,-0.47,-1.81,-3.07,-2.14,-2.1
196604,6.28,6.13,3.71,3.1,1.92
196605,-11.63,-9.86,-8.16,-6.54,-4.27
196606,0.31,0.37,0.18,0.25,-1.51
196607,-1.93,-1.81,-0.95,-1.65,-1.17
196608,-10.81,-10.54,-9.02,-8.42,-7
196609,-1.96,-1.71,-1.53,-1.14,-0.43
196610,-4.02,-1.09,1.59,2.48,5.34
196611,4.79,4.17,4.25,3.78,1.09
196612,1.82,2.22,2.03,2.52,-0.03
196701,18.79,18.21,13.93,9.76,7.25
196702,5.84,3.07,1.41,0.92,0.85
196703,6.77,6.95,5.65,5.23,3.93
196704,4.56,3.81,4.47,4.51,4.15
196705,-0.25,-1.64,-1.53,-1.67,-4.79
196706,12.3,8.06,5.42,4.02,1.55
196707,9.78,8.09,6.34,5.68,4.3
196708,0.56,-0.33,0.12,-0.12,-0.8
196709,8.27,5.22,3.67,2.49,3.24
196710,-1.76,-2.45,-2.92,-4.61,-2.38
196711,-0.11,0.77,0.88,1.09,0.69
196712,10.81,8.95,6.55,3.17,2.46
196801,3.54,-0.21,-2.24,-3.31,-4.24
