date,Q1,Q2,Q3,Q4,Q5
196201,-5.84,-3.59,-1.37,-0.2,1.54
196202,1.63,2,2.76,2.33,1.53
196203,0.09,-0.75,-0.5,-1.04,-2.31
196204,-7.8,-5.12,-5.92,-6.32,-5.81
196205,-10.52,-7.55,-6.06,-6.77,-7.53
196206,-10.55,-7.36,-6.44,-6.23,-7.17
196207,8.54,6.5,4.83,3.01,4.5
196208,2.89,2.35,1.44,1.56,2.5
196209,-5.47,-4.52,-4.37,-5.03,-4.98
196210,0.64,0.57,0.15,-0.25,0.08
196211,11.53,9.45,11.39,11.84,15.12
196212,1.13,2.31,1.93,-0.52,-0.14
196301,5.33,4.23,4,7.48,7.49
196302,-3.27,-1.56,-1.79,-1.4,-0.49
196303,3.46,2.64,3.96,4.36,4.24
196304,4.85,3.99,5.54,4.61,6.62
196305,3.01,-0.04,1.81,3.28,4.76
196306,-2.99,-0.98,-1.22,-1.99,0.19
196307,0.01,0.2,0.09,-0.89,-1.33
196308,5.74,4.31,4.94,7.2,6.07
196309,-1.58,-0.92,-1.17,-0.7,-2.95
196310,4.78,1.62,0.81,2.63,1.07
196311,-1.31,0.66,-1.17,-1.34,1.09
196312,2.3,2.13,1.89,2.14,2.32
196401,2.77,2.92,1.93,2.56,2.49
196402,1.86,0.67,1.71,4.08,4.35
196403,1.2,0.95,4.34,4.67,1.54
196404,-0.02,1.31,0.81,-1.16,0.79
196405,1.96,0.54,1.16,3.46,3.35
196406,0.95,2.68,0.87,1.66,2.31
196407,2.48,1.02,3.41,1.98,1.87
196408,-1.27,-1.4,0.12,-0.61,-2.19
196409,3.08,1.46,4.29,4.29,5.4
196410,0.44,1.1,0.76,1.02,3.34
196411,1.01,-0.09,0.83,-0.94,-3.08
196412,0.82,1.13,-0.96,-1.32,-1.33
196501,4.89,1.76,3.89,4.27,5.47
196502,0.36,0.44,1.42,0.82,0.92
196503,-1.2,-1.46,-1.1,0,0.93
196504,4.39,2.07,2.99,2.88,4.52
196505,-0.72,0.75,-0.54,-0.57,-2.6
196506,-4.7,-4.25,-6.16,-5.45,-7.16
196507,1.61,0.49,2.33,3.57,5.06
196508,3.43,1.85,4.18,2.36,3.47
196509,3.9,2.6,2.35,3.7,3.49
196510,3.26,0.91,3.4,4.69,6.23
196511,0.04,-0.94,2.14,1.02,1.27
196512,1.11,0.22,1.61,3.12,4.17
196601,-0.14,0.02,2.57,4.14,5.06
196602,-0.96,-1.83,-0.58,-0.15,0.95
196603,-1.36,-3.1,-1.66,-2.47,-3.78
196604,2.35,2.11,2.03,3.95,2.47
196605,-4.41,-4.38,-5.73,-7.69,-8.11
196606,-1.85,-1.25,-0.21,1.29,-0.38
196607,-1.62,-1.49,-0.87,0.21,-1.6
196608,-7.56,-8.66,-6.09,-7.4,-8.78
196609,-1.31,0.47,0.04,-0.1,-1.42
196610,2.41,4.93,7.74,5.59,3.59
196611,4.3,2.11,-1.76,-0.08,0.42
196612,-0.32,0.74,1.4,0.9,0.25
196701,8.35,7.92,6.49,9.51,14.93
196702,2.41,0.7,-0.38,-0.14,0.13
196703,4.49,3.58,3.76,5.06,5.54
196704,6.78,3.03,1.08,3.45,2.46
196705,-5.17,-3.21,-3.63,-2.7,-2.51
196706,1.93,1.59,2.39,4.42,4.59
196707,4.58,5.59,2.95,6.83,8.3
196708,-0.69,-0.91,-1.21,0.72,1.74
196709,3.95,3.1,3.31,3.31,1.29
196710,-0.79,-4.02,-2.99,-4.1,-5.35
196711,1.54,0.39,0.23,-0.35,-0.31
196712,2.34,3.36,2.96,5.81,4.86
196801,-6.33,-4.66,0.12,-0.63,-0.73
196802,-3.52,-2.67,-2.43,-4.02,-3.45
196803,2.7,-1.18,-0.55,-0.89,0.81
196804,11.32,8.01,4.74,11.33,12.44
196805,2.93,2.3,0.39,2.79,6.36
196806,-0.18,1.16,3.87,2.6,-0.99
196807,-5.42,-1.77,0.59,0.38,0.25
196808,1.23,1.41,2.03,1.8,3.63
196809,2.86,5.69,3.1,4.85,7.31
196810,-1.59,1.88,2.03,3.14,1.42
196811,6.63,4.21,6.2,5.44,5.49
196812,-4.63,-4.06,-2.96,-2.88,-2.27
196901,-2.3,-0.27,0.42,-0.41,0.94
196902,-4.61,-4.53,-5.22,-5.37,-7.01
196903,4.07,2.29,3.35,1.88,4.26
196904,3.41,1.31,0.82,2.24,1.22
196905,-0.47,0.32,1.19,1.21,-0.23
196906,-3.1,-7.56,-8.03,-7.26,-9.05
196907,-5.21,-6.89,-6.66,-7.67,-6.15
196908,7.37,5.14,4.23,4.13,2.3
196909,-0.34,-2.06,-2.45,-4.89,-4.27
196910,6.87,5.95,5.73,3.42,4.32
196911,-1.96,-4.01,-3.88,-4.64,-2.89
196912,0.22,-2.18,-2.06,-2.26,-5.25
197001,-8.34,-7.21,-7.83,-8.45,-4.14
197002,3.59,4.74,8.01,7.06,7.83
197003,-2.94,-0.48,2.11,0.72,1.49
197004,-12.38,-10.09,-9.74,-7.8,-8.52
197005,-8.68,-6.97,-6.3,-2.02,-4.96
197006,-6.28,-4.4,-4.08,-2.64,-8.18
197007,4.73,8.29,8.72,10.14,7.24
197008,4.27,6.03,4.6,5.06,6.37
197009,8.21,2.91,2.07,1.24,6.26
197010,-0.88,-2.06,-4.05,-0.62,-4.52
197011,4.77,5.53,4.94,6.02,4.5
197012,5.02,6.91,8.17,5.87,7.8
197101,4.62,5.66,4.88,4.23,8.29
197102,2.64,1.27,0.93,0.93,1.52
197103,6.24,4.03,4.82,1.86,3.13
197104,3.6,5.02,1.39,2.74,6.72
197105,-2.58,-4.13,-4.3,-4.75,-4.09
197106,1.15,-0.45,0.01,0.58,-1.79
197107,-4.17,-4.23,-3.58,-3.84,-5.97
